time,method,mean,sd
1,CE,0.16161616161616163,0
1,MSY,0.16161616161616163,0
1,TAC,0.16161616161616163,0
2,CE,0.24000000000000002,0.1414368777909357
2,MSY,0.2206060606060606,0.14721805037961314
2,TAC,0.20343434343434344,0.12784153087654143
3,CE,0.3668686868686869,0.22352107643003682
3,MSY,0.26121212121212123,0.18611514832877102
3,TAC,0.2595959595959596,0.197216116306889
4,CE,0.46303030303030307,0.25368662640770534
4,MSY,0.2876767676767677,0.20604340021514309
4,TAC,0.297979797979798,0.23540802554308615
5,CE,0.5313131313131314,0.27534670005498707
5,MSY,0.33151515151515154,0.2649951633315859
5,TAC,0.3373737373737374,0.28481092649987866
6,CE,0.5161616161616162,0.26175953610890684
6,MSY,0.33676767676767677,0.28529619843761794
6,TAC,0.37858585858585864,0.32677908205402345
7,CE,0.5486868686868688,0.2689884179549139
7,MSY,0.3476767676767677,0.30221016111468885
7,TAC,0.3886868686868687,0.3451539918508374
8,CE,0.554949494949495,0.2712735082585821
8,MSY,0.33111111111111113,0.2989404653084406
8,TAC,0.38262626262626265,0.3380788432200766
9,CE,0.5513131313131313,0.2678761532345577
9,MSY,0.3494949494949495,0.3034109774360744
9,TAC,0.4032323232323233,0.3508848124717934
10,CE,0.5331313131313132,0.27126499801750587
10,MSY,0.36141414141414147,0.3350666826464962
10,TAC,0.4220202020202021,0.3700295618712622
11,CE,0.5311111111111112,0.26819913493018915
11,MSY,0.38161616161616163,0.34197153312780587
11,TAC,0.42080808080808085,0.38294113228341975
12,CE,0.5561616161616162,0.2791082033180396
12,MSY,0.3464646464646465,0.3228287323236217
12,TAC,0.41535353535353536,0.37547551490334574
13,CE,0.5337373737373737,0.265291896120407
13,MSY,0.35070707070707074,0.32500686240380317
13,TAC,0.42444444444444446,0.3765190152724871
14,CE,0.5240404040404041,0.2543704851444211
14,MSY,0.334949494949495,0.3132998483359424
14,TAC,0.42101010101010106,0.3794118046167635
15,CE,0.5505050505050506,0.26836938957561185
15,MSY,0.32303030303030306,0.30699034761181027
15,TAC,0.4220202020202021,0.3803469733301772
16,CE,0.5638383838383839,0.27661034137885265
16,MSY,0.32161616161616163,0.31366148823340223
16,TAC,0.4076767676767677,0.37827641556983777
17,CE,0.5428282828282829,0.2614803156047972
17,MSY,0.31292929292929295,0.31765537544669026
17,TAC,0.41535353535353536,0.3774138395281052
18,CE,0.5581818181818182,0.28279410057697674
18,MSY,0.31858585858585864,0.3269964357540393
18,TAC,0.41535353535353536,0.3794835091259981
